文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2016-08-25,网络群体性事件演化博弈分析及对策研究,舆情演化分析 舆情应对方法,演化博弈理论,"网络群体性事件对现实社会的和谐稳定造成很大的影响,其网络信息传播过程分为潜伏期、爆发期、消亡期三个阶段。文章利用演化博弈理论,构建政府-普通网民-意见领袖之间的博弈模型,根据不同阶段博弈主体的期望收益,分析各参与主体的演化稳定策略,为政府有效防范和科学处理网络群体性事件提供理论依据。","[""网络群体性事件"",""网络舆情"",""演化博弈""]"
2016-08-25,一种基于马尔可夫链的微信舆情热度预测模型,舆情预测,马尔可夫链,"信息时代的发展,微信作为通信工具的同时也可以作为网络舆情传播的主要载体和平台,使信息传播更迅速,也使舆情事件的影响力增加。针对微信舆情热度的波动范围较大,并会呈现某种趋势的特点,文中提出了一种基于马尔可夫链的微信舆情热度趋势预测模型。该模型采集相关舆情的指标数据,得到热度的时间序列值;划分舆情热度趋势的状态空间;构建状态转移矩阵;预测热度的趋势变化区间。实验结果表明,该模型能有效地预测微信舆情的走势,从而为进行网络舆情管理和管理效果评估提供更有效的理论依据。","[""微信"",""网络舆情"",""舆情热度"",""马尔可夫链""]"
2016-08-25,评论簇在网络舆论中的情感倾向代表性研究,舆情分析,语义网络 知识图谱,"【目的】验证评论簇在网络舆论中具有情感倾向代表性作用。【方法】提出基于社会网络分析的评论簇对象情感倾向性分析模型。针对网络新闻事件,以新闻的用户评论(评论总集)为语料数据,对语料数据进行结构化处理和分析,借助评论主体的形式化关系,建立具有网络节点和拓扑连接关系的知识图谱,寻找最优评论簇。以评论簇的评论主体及其对应的评论对象为主,对评论簇内的核心人物及其评论进行语义分析,计算得到评论簇情感倾向,并与对应新闻的评论总集情感倾向作对比。【结果】实验结果表明,评论簇和评论总集中的情感强度趋于一致,新闻的评论簇对新闻具有较好的情感倾向代表性,并能将网络舆情对象情感挖掘算法的性能提高58%。【局限】由于本文的评论簇对象情感倾向性分析模型在情感特征词识别和抽取方法上使用不够完善,导致少量中文分词和词性标注错误、语法依存关系错误,且未将程度词考虑在内。【结论】评论簇在网络舆论中具有情感倾向代表性作用,可提高网络舆情对象情感计算的性能,可灵活有效地降低舆情分析的时间和空间复杂度。","[""语义网络"",""知识图谱"",""核心人物"",""网络舆情"",""评论簇"",""情感倾向计算""]"
2016-08-20,针对政府的微博网络舆情传播规律与对策研究——以新浪微博为例,舆情传播规律 舆情应对方法,扩散树,"以新浪微博为例,提出了一种基于扩散树的网络舆情传播模型,并探索微博舆情的传播规律及其对策。依照微博的传播特征及网络舆情生成规律,给出了微博网络舆情扩散树的定义及其构建方法;根据树的数理特征,揭示了基于扩散树的微博网络舆情""孤树""和""森林""传播规律,并进行了实证分析。基于扩散树特征,从舆情信息及时感知、官微澄清事实真相、积极培育微博红客、严厉惩处微博水军、政府官员谨言慎行、事件定性定论慎重六个方面,提出了应对微博网络舆情的策略。","[""网络舆情"",""微博"",""传播规律"",""扩散树""]"
2016-08-18,基于改进粒子群和BP神经网络的网络舆情预测研究,舆情预测,粒子群算法，BP神经网络,"[目的/意义]网络舆情是一种复杂、多变的系统,通过数据分析并建立网络舆情预测模型来预测其发展趋势具有一定的研究意义。[方法/过程]选择热点话题的百度指数作为网络舆情趋势预测的时间序列指标,采用粒子群算法和BP神经网络算法构建了基于改进粒子群算法和BP神经网络的网络舆情预测模型,并结合天津港爆炸事件案例进行验证与分析。[结果/结论]实验结果表明该模型在预测的性能上具有一定的优越性,为网络舆情预测提供了一有效模型。","[""网络舆情"",""网络舆情预测"",""粒子群算法"",""BP神经网络""]"
2016-08-05,政府面向网络舆情的知识源整合研究,舆情应对方法,空间向量模型 主成分分析,"科学有效的网络舆情管理是政府执政能力的体现,面对网络舆情知识需求的多样性,对知识源进行有效的整合能为政府组织应对知识提供技术和策略上的支持。通过空间向量模型构造网络舆情的知识需求,计算网络舆情知识供需之间的向量距离,应用多维主成分分析原理,把这些知识源中的知识片段通过重新整合解决网络舆情中的知识需求。能在较短的时间内、以较快的速度获取面对网络舆情知识需求所需的较全面有效的知识,为政府部门面向网络舆情提供有效的知识服务。","[""网络舆情"",""知识源整合"",""空间向量模型"",""主成分分析""]"
2016-07-24,基于流式计算的网络舆情分析模型研究,舆情分析,流式计算,"互联网时代,网络舆情的庞大数据规模和舆情分析的计算复杂性,使对网络舆情的分析和实时掌控变得愈发困难。面向快速、不断产生的网络舆情采用流式计算进行实时处理的分析模型,在时效性、突发性和无限性三个方面都更加符合网络舆情的自身特性。基于流式计算的网络舆情分析模型分为数据收集、舆情分析和舆情治理三个部分,通过对语义保障和负载控制等关键技术的把控,可以实现个案把握向整体掌控、被动响应向主动分析的转变。基于流式计算的网络舆情分析模型具有可扩展性,能够联合众多服务器及资源,具有平台优势,能够解决地方舆情分析中面临的技术门槛,保障网络舆情分析的准确性与及时性。","[""智能信息分析"",""流式计算"",""云计算"",""网络舆情""]"
2016-07-05,网络舆情衍生链的定量分析方法研究,舆情分析,定量分析,"网络舆情在演变过程中由于信息开放式、爆炸式的传播特点极易引发链式效应,其给社会带来的二次影响往往超过初始舆情本身。因此,对舆情衍生链的预警预测有利于政府及时掌握舆情主动权,优化舆情管理流程。本文根据网络舆情衍生的共性规律,归纳出三种基本的衍生链结构类型并给出了对应的衍生概率算法,最后列出了网络舆情衍生链定量分析的可操作步骤,以期丰富网络舆情定量研究成果,为政府科学治理网络空间提供有益思路。","[""网络舆情"",""舆情衍生链"",""衍生链结构"",""衍生概率"",""定量分析""]"
2016-07-01,关于我国政府危机管理中如何运用网络舆情的探究,舆情应对方法,PPRR模型 文献分析法,"随着互联网和网络社交平台的发展,网络舆情给地方政府处理公共危机事件带来了更大的挑战。本文将通过文献分析法,深入了解公共危机管理当前现状,并通过天津大爆炸事件这一实例来论述网络舆情对政府危机管理过程的影响。最后,文章在危机管理PPRR模型的基础上,将网络舆情引入至危机管理的四个阶段,提出地方政府如何有效利用网络舆情的具体操作方法,以此建立一个常态化的政府危机管理机制。","[""网络舆情"",""政府危机管理"",""PPRR模型""]"
2016-06-25,大数据背景下网络舆情主体交互机理与对策研究,舆情应对方法,微分方程模型,"分析大数据背景下网络舆情主体交互机制,提取影响网络舆情传播的关键变量,构建微分方程模型研究不同网络舆情主体交互作用问题,通过MATLAB进行数值仿真研究,根据静态仿真和动态仿真结果,得出网络舆情主体交互效果和变动规律,在此基础上提出了大数据背景下政府应对突发事件网络舆情的事前、事后对策。","[""大数据"",""网络舆情"",""交互机理"",""数学模型"",""对策""]"
2016-06-18,暴恐事件网络舆情风险预警研究,舆情应对方法,层次分析法 ABC分类法,"[目的/意义]为提高暴恐事件网络舆情决策的科学性及时效性,实现防御性预警,夺取反恐舆论战及心理战的主动权和话语权。[方法/过程]在研究暴恐事件及网络舆情影响因素的基础上,构建了包含暴恐事件、信息特性、媒体报道、网民反应四个维度的暴恐事件网络舆情风险预警指标体系,并运用层次分析法、ABC分类法对风险指标进行权重计算及风险评估。[结果/结论]为舆情风险预警提供符合实战需求以及可操作性强的重点监测目标,获得舆情高风险因素,并结合高风险因素及反恐现实需求提出舆情应对策略,以期为暴恐事件网络舆情预警处置提供有价值的参考。","[""暴恐事件"",""网络舆情"",""风险预警"",""层次分析法"",""ABC分类法""]"
2016-06-15 11:00,基于决策论元胞自动机的网络舆情传播研究,舆情传播规律,元胞自动机 决策轮,"在舆情传播研究中,传统元胞自动机采用多数演变规则,以多数情感代表倾向度,忽略了舆情个体间的相互影响,会导致错误的预测结果,为此,将决策论结合元胞自动机应用于舆情传播问题中.首先介绍元胞自动机和决策论的基本概念及特点;然后建立基于决策论的元胞自动机模型,以相对收益模型作为演变规则,设计元胞状态演变的遍历算法;最后通过实例和模拟仿真表明算法可实现舆情传播倾向度趋向明显,结果验证了算法的有效性和可行性.","[""元胞自动机"",""舆情传播"",""决策论"",""竞争收益"",""演变规则""]"
2016-06-15,网络舆情的知识网络结构、趋势与演化分析,舆情分析,可视化,"以CNKI和Web of Science数据库中关于网络舆情的相关文献为分析对象,基于共词网络分析法,对国内外网络舆情研究进行了文献计量分析,整理了该学科研究机构和作者的相关合作关系,并分阶段对网络舆情共词网络结构进行研究,通过学科知识网络可视化,展示了国内外网络舆情各阶段的研究热点和演化情况,最后将国外相关情况进行对比分析。研究结果表明,国内与国外的研究相比存在一定不足,在今后的研究中,国内应加强作者和机构之间的合作,积极与其他学科结合,努力开拓新的研究方向,促进网络舆情研究的发展。","[""网络舆情"",""共词网络"",""知识网络"",""知识结构"",""文献计量"",""可视化""]"
2016-06-05,网络舆情热点事件的可控性和筛选数学模型分析,舆情监测,数学模型,"本文通过数学模型分析网络舆情事件的可控性和筛选。首先,基于对舆情事件指标体系的分析和提取,选取舆情事件的点击量,转载量和评价量作为筛选指标;通过对舆情事件点击量函数的分析,提出把舆情事件区分为潜伏期、发展期和发热期的分界时间点计算公式,进而又把发热期的热点事件区分为可控、相对可控的难控事件;其次,定义了舆情事件的参照标准速率及热度值时间点,给出了筛选热点舆情事件的算法。最后,以""昆明市反对PX项目""、""昆明南博会""、""上海男子持械持枪""、""刘志军受贿""、""考生父亡隐瞒""事件为例,对它们的点击量和评价量进行了分时段统计,筛选和可控性分析。结果表明:""昆明市反对PX项目""为相对可控的热点事件,""刘志军受贿""为可控热点事件。","[""网络舆情"",""筛选"",""热点事件"",""可控性""]"
2016-06-05,基于数据立方体的网络舆情监测指标体系构建,传播 监测 应对,数据立方体 雪花型模式,"互联网技术的诞生,特别是WEB2.0时代的到来,将依靠人际传播的舆论搬上了网络平台,也因此对社会的发展和稳定产生了更加深刻的影响。如何有效地应对网络舆情可能产生的社会危机,成了社会管理者面对的重要问题。本文在对历史文献总结的基础上,借助数据立方体和雪花型模式,从舆情主题、舆情传播和舆情受众三个维度构建网络舆情监测指标体系。并从人民网舆情频道筛选了49个热点舆情事件对该指标体系进行了验证。","[""网络舆情"",""数据立方体"",""雪花型模式"",""监测指标体系""]"
2016-06-05,基于知识图谱的我国网络舆情研究进展可视化分析,舆情研究,指导研究内容,"采用文献计量和知识图谱可视化的方法,对中国知网数据库中近12年网络舆情相关研究的文献进行了定量统计,从时间分布、期刊分布、核心作者和研究机构等方面对网络舆情研究现状进行了可视化分析,并基于Cite Space软件对其研究热点和发展趋势进行了揭示,以期对相关研究和实践创新提供借鉴和参考。","[""网络舆情"",""知识图谱"",""文献计量"",""可视化""]"
2016-06-05,演化博弈视角下的网络伪舆情监管对策研究,监测 ,三方博弈,"网络伪舆情的监管治理区别于普通网络舆情的监管引导,目前专门针对伪舆情深入分析的策略研究相对较少。分析了伪舆情的危害,利用演化博弈方法建立伪舆情相关干系方的三方演化博弈模型,分析了治理网络伪舆情中各要素间的博弈关系。各方策略的选择受多种因素的共同影响,系统不会固定收敛于某一个均衡策略集合,监管成本、处罚力度等因素会直接影响系统的演化方向。最后给出针对网络伪舆情治理的具体策略建议。","[""伪舆情"",""演化博弈"",""舆情监管"",""网络媒体""]"
2016-05-25,微博舆情社会网络关键节点识别与应用研究,分析关键节点,改进PageRank算法,"文章在对国内外相关文献调查与梳理的基础上,从社会网络结构角度出发,设计舆情数据爬取系统,运用社会网络分析法来探索舆情网络中关键节点的识别与应用。具体应用时,以新浪微博为研究平台,通过爬虫系统抓取舆情数据并解析,构建微博舆情社会网络,运用改进PageRank算法对舆情网络中的关键节点进行识别与评价,实验结果证明本文所用算法是有效的。","[""新浪微博"",""网络舆情"",""社会网络"",""关键节点"",""改进PageRank算法""]"
2016-05-25,网络舆情事件中微博用户行为特征和关系分析——以新浪微博“雾霾调查:穹顶之下”为例,传播 用户特征,相关分析 回归分析,"文章在对社交媒体研究现状与重点及难点分析的基础上,选择以国内最具影响力的SNS网站新浪微博为研究平台,爬取与处理在微博平台上传播的有关舆情事件的关键字段信息,分析信息中所揭示舆情事件传播中的用户行为特征。并进一步从采集到的用户发布数、评论数、转发数等信息特征入手,借助数据的相关分析、偏相关分析、回归分析等方法研究用户行为关系。最后,提出具有一定参考价值的研究建议。","[""网络舆情"",""新浪微博"",""社交媒体"",""用户行为"",""相关分析"",""回归分析""]"
2016-05-18,基于SIS模型的网络群体性事件传播及防控研究,舆情传播规律 舆情防控,SIS传染病模型,"[目的/意义]网络群体性事件爆发性强,社会影响大,是近年来众多学者关注的焦点。研究网络群体性事件的传播规律,对政府进一步完善网络治理有一定的理论价值及现实意义。[方法/过程]利用SIS传染病模型中的动力学原理,综合考虑社会环境和各种影响因素,构建网络群体性事件传播的数学模型。模型可转化为一个可分离变量的微分方程,利MATLAB求解出网络群体性事件参与人数的变化轨迹。[结果/结论]模型表明,在促进函数和阻止函数的作用下,网络群体性事件的参与者和未参与者可以相互转换;根据网络群体性事件爆发前、爆发时、爆发后模型的仿真研究结果,认为在事件传播过程中存在着阈值;政府及相关职能部门可以参照阈值采取不同干预措施,有效控制网络群体性事件的发展。","[""网络群体性事件"",""SIS传染病模型"",""数值仿真""]"
2016-05-15,BBS话题的地理分布分析,舆情特征分析,LDA模型,"网络作为反映社会舆论的主要载体之一,其引发的舆情问题愈发突出.网络论坛(BBS)是网络舆情的重要数据来源.如何从BBS贴文中捕捉各地域的焦点问题、考察各话题热度的地理分布,对当前省一级的社会管理工作和决策有一定指导作用.文章选取民生话题为主的天涯论坛版块——""天涯杂谈""帖子为舆情来源,采用主题模型的基础模型LDA对包含空间地理信息的帖子建模,提出抽取热门话题的定量方法,从而在众多网民意见中提炼出舆情的地理分布信息,挖掘地域差异对话题的影响.","[""主题模型LDA"",""地理分布"",""天涯论坛"",""网络舆情""]"
2016-05-15,高校网络群体性事件舆情演化规律初探——基于多项式拟合的定量分析,舆情演化分析,多项式拟合,"高校大学生群体由于文化素质高、思维活跃、关心社会、思想不够成熟等,在网络敏感事件的诱使下容易在网络上形成一些过激语言和行动,从而形成一些大规模的高校网络群体性事件,给社会造成了巨大的影响力。因此,有必要清楚地了解各类高校网络群体性事件网络舆情的演化规律,用定量分析的方法进行科学的论证和预测。本文通过搜集5个典型的高校网络群体事件舆情演化的历史数据,建立了基于多项式拟合的舆情演化规律模型,得到了各类高校网络群体性事件舆情演化的具体规律,为科学预测和及时应对高校网络群体性事件起到一定的借鉴作用。","[""高校"",""网络群性体事件"",""演化规律"",""网络舆情"",""多项式拟合""]"
2016-05-15,基于ARIMA和BP神经网络模型的舆情情感预测,舆情预测,ARIMA模型 BP神经网络,"针对重大事件网络舆情数量的激增,网络舆情安全监管和预警形势严峻的情况,提出一种基于ARIMA和BP神经网络组合模型的网络舆情情感预测模型,进而对新浪微博上采集的""余姚水灾事件""进行文本情感值计算,并对其情感变化趋势进行综合分析和预测。预测结果表明,也组合预测方法相对于单一预测方法具有更高的精度,进而说明该模型在网络舆情情感预测中的应用是可行的。","[""网络舆情"",""情感值"",""组合模型"",""预测""]"
2016-05-04 10:12,耗散结构理论视域下重大医疗事故网络舆情有序化控制研究,舆情应对方法,耗散结构理论,"重大医疗事故网络舆情具有参与群体众多、观点难以稳定和社会热度高等特点,对网络舆情进行有序化控制在重大医疗事故公共危机管理中具有重要意义。本文从耗散结构理论的研究视角出发,以湘潭孕妇死亡事件为实证研究对象,采用文本挖掘和社会化网络分析方法对舆情的演化过程展开分析。研究结果显示,保持舆情系统开放性、营造舆论场非平衡态、充分利用舆情要素间的非线性制约作用,因势利导舆情的涨落以及建立完善的舆情预警机制等控制策略对于有序化控制具有积极作用。","[""重大医疗事故"",""网络舆情"",""有序化控制"",""耗散结构理论"",""文本挖掘"",""社会化网络分析""]"
2016-04-28,互联网数据在舆情研判中的效用研究,舆情特征分析,数据挖掘,"虽然互联网数据对于舆情研判工作具有重大价值,但由于互联网数据的海量、多源、异构等特性,以及数据噪声的存在,使目前的互联网数据处理技术表现出了一定的局限性,影响了互联网数据效用的发挥。大数据分析和计算实验技术能够提升互联网数据在舆情研判中的效用,在实际操作中应注重人的主导作用与技术辅助功能的互动耦合。","[""网络舆情"",""舆情研判"",""互联网数据"",""Web数据挖掘"",""效用分析""]"
2016-04-18,突发社会安全事件网络舆情演化的生存分析——基于70起重大社会安全事件的分析,舆情演化分析,COX模型 生存分析 Kaplan-Meier 分析,"[目的/意义]探索网络舆情的影响因素有助于舆情预警及增强政府应对社会安全事件的舆情能力。[方法/过程]以突发社会安全事件网络舆情数据为研究对象,采用生存分析方法对70起重大社会安全事件进行分析,描述了各类社会安全事件网络舆情的生存周期,探索了影响社会安全事件网络舆情生存时间的影响因素。[结果/结论]分析发现恐怖袭击、群体事件、刑事案件这三类事件生存时间有显著差异。作案人数、作案人社会地位等级、案件是否导致受害人社会地位变动三个因素对突发社会安全事件的生存周期有明显的影响。","[""生存分析"",""网络舆情"",""COX模型"",""突发社会安全事件"",""Kaplan-Meier分析""]"
2016-04-18,基于E-Divisive的网络舆情演化分析,舆情演化分析,E-Divisive,"[目的/意义]现有的网络舆情周期理论的舆情阶段间界定模糊,因此提出舆情阶段划分的定量模型,划分舆情演化阶段。有利于舆情演化的规律深层次挖掘,拓展了舆情周期理论。[方法/过程]该模型通过E-Divisive算法对网络舆情事件演化阶段的划分,提出一种新的分析网络舆情事件演化的研究思路。[结果/结论]最后,以""北京雾霾""事件为例进行实证研究,对该事件的生命周期进行定量研究,总结舆情事件的各阶段演化规律。","[""网络舆情"",""时间序列"",""阶段划分"",""E-Divisive"",""舆情演化""]"
2016-04-07 11:12,基于博弈的舆情信息仿真研究,舆情信息博弈,不完全信息动态博弈,"互联网的开放性、匿名性特点,使得政府在应对网络舆情传播时面临高度的不确定性。本研究使用不完全信息动态博弈理论,模拟政府和网民之间的舆情信息博弈过程,建立了舆情信息博弈模型。该模型引入了网民的个人认知能力和社会信息共享程度等因素,描述网民在每一次博弈中修正对政府行为的判断并做出自己的最优选择,预测政府干预网络舆情的最佳时机,最后运用Net Logo计算机软件对此模型进行仿真,验证了模型的有效性和可靠性。仿真结果表明:突发事件的社会信息共享程度和网民的认知能力对舆情信息的发展、走向起着至关重要的作用,所以突发事件发生后政府应果断介入,发布权威信息尽早引导网民,掌控舆情信息的传播方向。","[""舆情信息"",""不完全信息动态博弈"",""Netlogo仿真""]"
2016-04-05,基于网络舆情分析的汽车市场及消费研究,舆情分析与汽车市场与消费,关联分析,"在当今互联网信息迅速增长的时代,网络舆情信息已成为消费者信息搜集的主要渠道之一。本文通过建立网络舆情分析系统,利用该系统搜集、提取并分析海量的汽车网络舆情数据,将大量的、无规律的汽车消费者网络舆情信息整合成对汽车企业有市场价值的消费者产品评价报告。作者选取当前市场上较为流行且销量较高的七款车型的消费者网络舆情信息作为研究样本,主要应用网络爬虫、词频统计、关联分析等文本挖掘方法,对网络舆情信息进行抓取、清理和分析,重点研究了相同汽车细分市场内的车型竞争关系、消费者对各款车型的关注点和情感分析,以及舆情信息中主要关键词之间的关联性等内容,对企业制定产品战略具有参考价值。","[""网络舆情"",""提及量"",""竞品车型"",""情感分析"",""关联分析""]"
2016-04-05,大数据时代的网络舆情管理与引导研究,舆情监测系统的设计,大数据,"随着大数据时代的到来,网络舆情在数据体量、复杂性和产生速度等方面发生巨大变化.大数据时代,准确把握网络舆情的内在特征及其在演化过程中的潜在规律,对于新形势下做好网络舆论引导工作,维护网络社会安全,具有重要的理论意义和实践价值。在互联网大数据时代,借助计算机技术,及时、全面监控网络舆情已经迫在眉睫。将首先探讨大数据带来的网络舆情新变化,接着阐述了应对舆情策略,最后介绍了基于Web Crawler和Lucene的网络舆情监测系统的设计思想.","[""大数据"",""网络舆情"",""舆论引导""]"
2016-04-05,面向微博舆情演化分析的隐马尔科夫模型研究,舆情演化分析,马尔柯夫模型,"微博舆情是互联网舆情表现的新形式,已成为影响国家安全和社会稳定的不确定因素,是网络舆情监测、预警和管控决策支持领域的新问题。本文运用隐马尔科夫模型(HMM)理论,选择网民特征、信息主题和信息内容完整度三维指标,根据微博舆情的事件演化阶段建立HMM状态空间、确定观测值、计算相关的参数,从而构建了面向微博舆情演化分析的隐马尔科夫模型,以揭示微博舆情演化发展的一般规律,并对模型的有效合理性实证验证。","[""网络舆情分析"",""隐马尔科夫模型"",""舆情分析模型"",""微博舆情监管""]"
2016-04-05,基于小波分析与人工神经网络的网络舆情预测,舆情预测,小波分析 神经网络,"针对网络舆情发展过程的复杂性和多成分的特点,本文提出一种基于小波分析和人工神经网络的网络舆情建模和预测方法。利用小波变换将舆情发展过程分解到不同的尺度层面上,形成舆情发展过程的整体趋势、细节等部分,然后通过人工神经网络对每个部分进行建模并最终达到预测的目的,并与其他预测模型进行对比实验。结果表明,相对于其他模型,本文提出的小波-人工神经网络预测模型具有较高的精确度和稳定性。","[""网络舆情"",""小波分析"",""人工神经网络""]"
2016-03-31,重大生产安全事故的网络舆情传播分析及其政策建议——以“8·12天津港爆炸事故”为例,舆情传播规律 舆情应对方法,多层多属性舆情传播模型 仿真建模,"""8·12天津港爆炸""属于生产安全类中特别重大事故,党中央和国务院高度重视。事故发生后,应急处置工作稳步推进,而与此同时,互联网上的舆情阵地却快速陷落,成为""8·12天津港爆炸""事故的重要次生灾害。因此,本文以""8·12""事故引发的网络舆情为分析对象,基于该舆情传播的几大特征,建立集主体、信息、心理、观点四种要素的多层多属性舆情传播模型,应用仿真工具进行多情景分析,全面获取此类重大突发事件的舆情形成及演化规律,据此提出重大生产安全事故类突发事件的舆情处置建议。","[""网络舆情"",""多层多属性舆情传播模型"",""仿真建模"",""政策建议""]"
2016-03-15,基于大数据的危险化学品事故网络舆情研究——以天津港“8·12”爆炸事故为例,舆情分析,大数据分析,"百度指数和新浪微指数是以海量网民行为数据为基础的大数据开放平台,是公共管理领域实时、快捷地研究网络舆情的主要来源之一。本文采用K-均值聚类方法和波特五力模型,以天津港""8·12""爆炸事故为例,借助百度指数和新浪微指数平台,研究危险化学品事故网络舆情的演变规律和影响因素。研究结果表明,危险化学品事故发生后,网络舆情迅速爆发,事故发生后的第七天或首个周末,关注度出现小幅反弹,随后逐渐消退;网络舆情演变过程的主要影响因素是危险化学品事故自身的影响力、关注网络舆情的网民和掌握事故稀缺信息的政府,其中政府是处理网络舆情的主导力量。大数据平台的出现为政府实时监管和控制网络舆情走向提供可能,基于大数据的网络舆情研究为完善危险化学品事故应急管理预警系统提供科学支撑。","[""危险化学品事故"",""网络舆情"",""大数据"",""舆情热度"",""天津港爆炸事故""]"
2016-03-15,大数据环境下网络舆情评估模型的构建,舆情评估,Mashup,"当前网络舆情的发展呈现随时间变化的过程,本文研究在大数据环境下实现预警的软件模型的构建。提出网络舆情信息获取的Mashup模式,建立评估数据集合;针对具体的网络舆情评估指标体系,提出一种通用的舆情综合度量方法;实现对舆情的分级度量,把网络舆情从高到低划分为红、橙、黄、绿等四个等级,以供相关组织决策。","[""大数据"",""网络舆情"",""Mashup"",""评估体系"",""综合度量""]"
2016-03-15,网络舆情倾向性预测模型仿真研究,舆情预测,自动构词算法 支持向量机 特征提取 聚类分析,"在对网络舆情倾向性预测建模过程中,由于网络舆情倾向性话题评论频繁,数目众多,使得网络舆情倾向性受到特征词语出现频率的影响产生无规律性。传统的网络舆情倾向性预测方法,主要是以特征词语出现频率为前提来建模,忽略了少数词语会对舆情倾向性产生翻转性影响因素,导致网络舆情倾向性预测分析准确性差的问题。提出文本网络舆情倾向性预测模型,将中文自动构词算法的SVM文本倾向性分类方法词库和信息瓶颈的特征提取方法相结合,自动化的动态构建专用词库,引入信息瓶颈概念,根据文章关键词的性质进行分类,在结合概念抽取的方法,将词聚类结果映射到知网义原,并作为分类特征完成网络舆情倾向性的预测。仿真结果表明,上述方法能够有效提高网络舆情倾向性的预测准确度。","[""的句子个数。"",""自动构词算法"",""支持向量机文本"",""信息瓶颈"",""特征提取"",""关键词聚类"",""概念抽取""]"
2016-03-05,基于大数据的网络舆情分析系统模型研究,舆情特征分析,大数据分析,"随着Web2.0的发展,人们交流更加便利,互联网成为思想文化和社会舆论的重要传播渠道。同时,每天以PB规模增长的数据也为相关部门对网络舆情的管理和态势研判带来了很大困难。基于此,本文在分析大数据及网络舆情相关概念和特征的基础上,构建了基于大数据的网络舆情分析系统模型,描述了系统各组成模块功能。并将分布式并行数据处理技术引入到舆情分析的各个关键步骤中,对应用大数据技术处理网络舆情数据进行了初步的探索。","[""大数据"",""网络舆情"",""Hadoop"",""分布式""]"
